;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
0;3257;024X.PAN23D;BBGO/PDL/Angers;51 à 100 km;Traité;08/06/2023;Bouygues Bâtiment Grand Ouest, 51 Av. du Grésillé, 49000 ANGERS;47,531;-0,5278
1;3312;848X.AKA048;BYES;0 à 50 km;Traité;01/09/2022;40 avenue roger salengro, 13003 MARSEILLE 03;43,3104481;5,3733332
2;378;024X.BBE802;BBGO/NormPIC/Beauvais;101 à 150 km;Archivé;07/01/2019;RUE DU 18 JUIN 1940, 60560 ORRY LA VILLE;49,1335;2,5114
4;1606;BZNX.PH0010;HAS/HAS REHA;0 à 50 km;Archivé;08/02/2019;28 Place de la Nation, 75012 PARIS 12;18,3;-74,16667
6;1636;B09X.PS0583;HAS/HAS NEUF;0 à 50 km;Archivé;01/10/2020;125 Rue jean durand, 93240 STAINS;48,9563685;2,3798688
8;2139;022X.410020;BBCSO/SO/TLSE;0 à 50 km;Traité;22/06/2020;64 Boulevard Pierre SEMARD, 31500 TOULOUSE;43,6108691;1,4538686
12;3103;024X.75602500;BBGO/OUEST/Rennes;51 à 100 km;Traité;11/04/2022;6 Rue Lieutenant de Police Régis Ryckebusch, 56000 VANNES;47,6667;-2,75
18;1067;S17X.PE0092;REP/REP;Zone IDF 0 à 50 km;Archivé;01/05/2018;21 boulevard malesherbes , 75008 PARIS ;48,8721109;2,3215512
23;246;024X.BLH702;BBGO/NormPIC/Le Havre;51 à 100 km;Archivé;03/07/2017;Rue Henry Genestal, 76600 Le Havre;49,4957126;0,1066904
24;104;070X.BR1605-G2;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;13/09/2017;Boulevard Jean Rondeaux, 76100 Rouen;49,4431;1,0993
25;3530;EXTX.453320;COLAS/COLAS;101 à 150 km;Traité;11/01/2023;Avenue de la Grande Cavée, 14200 HEROUVILLE ST CLAIR;49,1997564;-0,3439622
27;854;B11X.PE0106;REP/REP;Zone IDF 0 à 50 km;Archivé;06/06/2019;14 impasse d'antin, 75008 PARIS 08;43,2;-80,38333
28;1984;B11X.PE0120;REP/REP;0 à 50 km;Archivé;13/03/2020;67 boulevard haussmann, 75008 PARIS 08;43,2;-80,38333
29;103;070X.BR1605-G1;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;13/09/2017;Boulevard Jean Rondeaux, 76100 Rouen;49,4431;1,0993
32;2821;570X.VS2104;TP RF/CSO;101 à 150 km;Traité;15/01/2021;135 rue de Monts, 37260 MONTBAZON;47,281219;0,6883288
33;332;VL1604;TP RF/CSO;151 à 200 km;Archivé;13/03/2017;19 rue des erables, 86000 DISSAY;46,5833;0,3333
35;1861;570X.VL1903;TP RF/CSO;201 à 250 km;Archivé;23/09/2019;Lieu dit Les Mortiers, 72160 BEILLE;48,1048;0,5847
36;2511;570X.TE2101;TP RF/SEP TPRF;0 à 50 km;Traité;30/04/2021;rue Adolphe Bobierre, 44000 NANTES;47,2661462;-1,5664571
37;975;570X.OU1709;TP RF/SEP TPRF;51 à 100 km;Archivé;08/01/2018;RD45C - Le moulin Troussel, 14430 ANGERVILLE;49,2313;-0,0445
38;2963;570X.VS2105;TP RF/TPRF ONE;151 à 200 km;Traité;06/01/2022;RD18, 21360 THOREY SUR OUCHE;47,2163;4,7218
39;3879;570X.A680L1;TP RF/SEP TPRF;0 à 50 km;Traité;06/11/2023;Route départemantale 20, Lieu dit Preusso, 31380 GRAGNAGUE;43,7198;1,5902
40;3685;570X.VS2302;TP RF/SE;0 à 50 km;Traité;03/07/2023;ZA de vernay impasse du stade, 69420 AMPUIS;45,4891;4,8088
42;3921;A7A54B;TP RF/SE;0 à 50 km;Traité;30/10/2023;208 allée de la coudoulette, 13680 LANCON PROVENCE;43,5924;5,1317
43;4003;570X.A7A54B;TP RF/SE;0 à 50 km;Traité;23/10/2023;208 allée de la coudoulette, 13680 LANCON PROVENCE;43,5924;5,1317
44;2996;570X.VS2201;TP RF/VSL FR;101 à 150 km;Archivé;01/03/2022;Avenue des Etangs, face à Moto Sud Evasion, 11100 NARBONNE;43,1833;2,9333
47;1775;BZNX.226223;BZ/BZ SE;0 à 50 km;Archivé;27/05/2019;RUE CAMILLE JENATZY, 78260 ACHERES;48,9701965;2,077719
49;108;226157;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;12/01/2017;Route Forestière / Route neuve, 78100 Saint Germain En Laye;48,9;2,0833
50;107;226162;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;12/01/2017;Route Forestière / Route neuve, 78100 Saint Germain En Laye;48,9;2,0833
51;1904;BZNX.226225;BZ/BZ SE;0 à 50 km;Archivé;10/09/2019;Route Centrale des Noyers, 78100 ST GERMAIN EN LAYE;48,9820651;2,149616
53;968;024X.BRE805;BBGO/OUEST/Rennes;101 à 150 km;Archivé;18/02/2019;2 rue du Placis Vert, 35510 CESSON SEVIGNE;48,1257012;-1,6007962
54;3346;T01X.309623;BY TP/TPRP;Zone IDF 0 à 50 km;Traité;01/03/2023;avenue de l’union, 94390 PARAY VIEILLE POSTE;48,7295264;2,3696551
55;3473;333X.090206;BCSN;> 300 km;Traité;20/02/2023;ORANO , Etablissement de la HAGUE, 50444 LA HAGUE;18,86667;-71,81667
56;3186;Z32X.9O9363;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;23/05/2022;30 Route de Longjumeau , 91380 CHILLY MAZARIN;48,7079163;2,2970932
57;3107;570X.SO2201;TP RF/CSO;51 à 100 km;Traité;07/09/2022;73 avenue des Landes, 47310 ROQUEFORT;44,1412;0,5608
58;2001;022X.410000;BBCSO/SO/TLSE;51 à 100 km;Archivé;09/11/2020;Avenue d'Aquitaine, 47550 BOE;44,1850748;0,6372922
61;2815;EXTX.COL9150;COLAS/COLAS;0 à 50 km;Traité;01/11/2021;Porte d asnieres à porte dauphine, Boulevard des maréchauds, 75016 PARIS 16;32,7673;-96,7776
62;3239;022X.322120;BBCSO/SO/BDX;51 à 100 km;Traité;03/04/2023;138 avenue jean jaures, 47000 AGEN;44,2045896;0,6264405
63;3988;570X.AGESCI;TP RF/TPRF ONE;0 à 50 km;Traité;08/01/2024;3 avenue de penhouet, 44600 ST NAZAIRE;47,2833;-2,2
67;775;022X.517300;BBCSO/SO/TLSE;0 à 50 km;Archivé;21/08/2017;2  Rond-Point Pierre GUILLAUMAT, 31400 TOULOUSE;43,5565204;1,4813224
68;774;022X.517200;BBCSO/SO/TLSE;0 à 50 km;Archivé;01/09/2017;31 RUE DES COSMONAUTES, 31400 TOULOUSE;43,5597132;1,4968922
71;2506;020X.292020;BBSE/HN/HN PALR;0 à 50 km;Traité;01/02/2023;chemin des floralies (phase 1), 13090 AIX EN PROVENCE;43,5283;5,4497
72;1657;020X.291030;BBSE/HN/HN PALR;0 à 50 km;Traité;01/09/2021;1 Avenue Robert Schuman , 13100 AIX EN PROVENCE;43,5210891;5,4470665
78;3;BLM704;BBGO/PDL/Le Mans;151 à 200 km;Archivé;17/05/2017;9 Rue du Pont Neuf, 61000 Alencon;48,4292598;0,0882911
79;5;024X.QUI BLM802;BBGO/PDL/Le Mans;101 à 150 km;Archivé;03/09/2018;Rue Jullien, 61000 ALENCON;48,4327896;0,0842108
84;2118;B09X.PH0039;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;07/05/2020;12 RUE EDOUARD VAILLANT, 94140 ALFORTVILLE;48,8124463;2,4172163
85;1822;020X.219010;BBSE/HN/HN RAAU;0 à 50 km;Archivé;17/08/2020;Rue Paul VILLEMOT/ Rue Gabriel CORDIER , 69650 ST GERMAIN AU MONT D OR;45,664046;-121,552365
86;3169;024X.HTS22B;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Archivé;11/07/2022;Rue de la Maison Rouge, 27460 ALIZAY;49,3216;1,1785
89;2339;020X.121010;BBSE/OF/OF RAAU;51 à 100 km;Archivé;01/11/2021;Chemin de l'aviation , 01500 AMBERIEU EN BUGEY;45,9687512;5,3472047
90;1604;024X.BBN902;BBGO/NormPIC/OF industrie;101 à 150 km;Archivé;18/03/2019;Chemin du vauvoix, 80000 AMIENS;49,9;2,3
91;1956;024X.QUI POF20A;BBGO/NormPIC/Amiens;151 à 200 km;Archivé;01/06/2020;AVENUE DE LA REPUBLIQUE, 80300 ALBERT;50,0040387;2,6559891
93;974;NO1702;TP RF/TPRF ONE;101 à 150 km;Archivé;07/05/2018;34 Esplanade Edouard Branly, 80000 AMIENS;49,8896387;2,2900283
94;60;024X.BAM702;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;04/09/2017;10 RUE LAMARTINE, 80000 AMIENS;49,8921305;2,3050154
98;1396;024X.BOP802;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;03/12/2018;Rue Colbert, 80000 AMIENS;49,8942653;2,2773789
99;57;BAM701;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;17/04/2017;Rue du thil, 80080 Amiens;49,9;2,3
101;1000;024X.BAM703;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;26/03/2018;ALLEE DES 4 SOUFFLES, 80000 AMIENS;49,9;2,3
103;58;BBN705;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;17/01/2017;Rue André DUROUCHEZ, 80000 Amiens;49,9265219;2,2863307
105;989;024X.BAM801;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;20/08/2018;EN FACE DE L'ALLEE MARC SIBERCHICOT, 80480 PONT DE METZ;49,83;2,225
108;2089;024X.PAM20B;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;07/09/2020;18 rue VERRIER LEBEL, RUE EN SENS UNIQUE, 80000 AMIENS;49,902126;2,276242
112;176;BAM505;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;02/09/2016;85 rue Monstrelet, 80000 Amiens;49,9064918;2,2873513
113;2302;024X.BAM802;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;04/01/2021;88 GRANDE RUE DU PETIT SAINT JEAN, 80000 AMIENS;49,8866836;2,2611527
114;173;BAM602;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;06/10/2016;Rue de Grâce, 80000 Amiens;49,9103058;2,253305
115;907;BZNX.221170;HAS/HAS NEUF;Zone IDF 50 à 100 km;Archivé;07/09/2020;RUE PROFESSEUR CHRISTIAN CABROL, 80000 AMIENS;49,9;2,3
116;2217;024X.PAM21B;BBGO/NormPIC/Amiens;101 à 150 km;Traité;31/01/2022;Rue du professeur Christian Cabrol, 80000 AMIENS;49,8767782;2,2589223
117;2333;024X.PAM21A;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;01/11/2021;Rue de la cotonnière, 80000 AMIENS;49,9001264;2,2679607
119;3076;024X.POF22A;BBGO/NormPIC/Amiens;101 à 150 km;Traité;24/10/2022;1 Rue du Professeur Christian Cabrol, 80000 AMIENS;49,8767782;2,2589223
120;2078;024X.GPN20B;BBGO/NormPIC/Grands Projets NP;101 à 150 km;Traité;25/10/2021;35 Rue Legrand d'Aussy, 80000 AMIENS;49,8918142;2,3121997
121;3072;024X.PAM22B;BBGO/NormPIC/Amiens;101 à 150 km;Traité;27/02/2023;Rue Albert Camus, Angle Avenue de la PAIX, 80000 AMIENS;49,9;2,3
123;3086;024X.POF22B;BBGO/NormPIC/Amiens;101 à 150 km;Traité;06/11/2023;PLACE LOUIS SELLIER, 80000 AMIENS;49,8987203;2,2884936
124;3075;024X.PAM22A;BBGO/NormPIC/Amiens;101 à 150 km;Traité;02/10/2023;Rue Château Milan, 80000 AMIENS;49,9031639;2,2861989
125;3148;B36X.221178;HAS/HAS REHA;Zone IDF 50 à 100 km;Archivé;01/05/2022;23 Rue Pierre et Maurice Garet, 80000 AMIENS;49,9094777;2,3095217
127;1308;024X.BBR802;BBGO/OUEST/Brest;101 à 150 km;Archivé;24/09/2018;3 rue Mozart, 29200 BREST;48,3954345;-4,5242398
129;3451;024X.PAN23C;BBGO/PDL/Angers;51 à 100 km;Traité;03/07/2023;12 Rue du Figuier, 49000 ANGERS;47,4813549;-0,5616147
131;273;BAN604;BBGO/PDL/Angers;51 à 100 km;Archivé;30/08/2016;14 rue Anne Frank, 49000 Angers;47,463384;-0,5380739
132;1120;024X.BPS803;BBGO/PDL/Nantes;51 à 100 km;Archivé;30/04/2018;4 rue Larrey, 49000 ANGERS;47,4791007;-0,5558125
135;2209;024X.PAN21B;BBGO/PDL/Angers;51 à 100 km;Archivé;17/05/2021;15 rue Maurice Suard, 49100 ANGERS;47,4892402;-0,5287073
138;233;024X.BAN702;BBGO/PDL/Angers;51 à 100 km;Archivé;04/09/2017;243 rue Jean JAURES, 49800 TRELAZE;47,4428668;-0,4958339
144;1341;024X.BAN904;BBGO/PDL/Angers;51 à 100 km;Archivé;01/04/2019;4 rue Larrey, 49000 ANGERS;47,4791007;-0,5558125
145;1314;024X.BPS801DIA;BBGO/PDL/Angers;51 à 100 km;Archivé;25/07/2018;146 Square de Lattre de Tassigny, 49000 ANGERS;47,445888;-0,539432
146;797;024X.BAN704;BBGO/PDL/Angers;0 à 50 km;Archivé;02/10/2017;Rue Martin Luther King, Ecole et collège Immaculée Conception, 49000 ANGERS;47,531;-0,5278
147;3602;024x.PAN23F;BBGO/PDL/Angers;101 à 150 km;Traité;11/12/2023;21 boulevard victor BEAUSSIER, 49000 ANGERS;47,470501;-0,6000582
149;3893;024X.PAN23E;BBGO/PDL/Angers;51 à 100 km;Traité;04/09/2023;rue de l'Hirondelle, Clinique de l'ANJOU, 49044 ANGERS;47,4449728;-0,5394796
152;3259;024X.PAN23B;BBGO/PDL/Angers;51 à 100 km;Traité;28/02/2023;25 rue Desmazières, 49000 ANGERS;47,4600722;-0,5372356
155;2589;G11X.456946;BBGO/PDL/Angers;51 à 100 km;Archivé;21/02/2022;rue des petites Musses, 49000 ANGERS;47,531;-0,5278
157;1248;570X.VS1804;TP RF/CSO;101 à 150 km;Archivé;09/07/2018;TUNNEL DE LA GATINE , 16000 ANGOULEME;45,6513625;0,1642064
160;4041;848X.AZ2158;BYES;0 à 50 km;Traité;01/11/2023;147 RUE DU Landy, 93200 ST DENIS;48,9147716;2,3493424
164;2890;570X.SE2103;TP RF/SE;151 à 200 km;Archivé;10/01/2022;24, Rue du Pont Neuf, 74100 VILLE LA GRAND;46,2039147;6,2455266
167;2113;Z32X.PO0150;IEP/IEP;0 à 50 km;Archivé;18/10/2021;Rue Henri Fabre, 92160 ANTONY;48,7428799;2,2840137
170;1076;B33X.PR0190;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;21/01/2019;Rue du MARCHE, 92160 ANTONY;48,7527961;2,3027645
174;3321;570X.SO2202;TP RF/CSO;151 à 200 km;Traité;02/01/2023;CHEMIN MENDIBIL, 64990 URCUIT;43,4933565;-1,3327553
175;752;Q75X.750000;BBGO/SQU;201 à 250 km;Archivé;05/02/2018;Site AREVA, 50440 BEAUMONT HAGUE;49,6743;-1,8011
180;2032;BZNX.222124;IEP/IEP;0 à 50 km;Archivé;11/05/2020;Impasse du Prunet, 95100 ARGENTEUIL;48,9454255;2,2107029
181;3881;570X.NO2305;TP RF/TPRF ONE;0 à 50 km;Traité;06/11/2023;avenue de l'eau Belle, 59280 ARMENTIERES;50,6930553;2,8797224
182;239;024X.AR0000;BBGO/SQU;151 à 200 km;Archivé;07/02/2017;Rue des Collèges, 72230 Arnage;47,9311692;0,1852269
183;1437;BZNX.225187;HAS/HAS REHA;0 à 50 km;Archivé;07/01/2019;4 boulevard Jean Jaurès , Résidence des Tilleuls , 91290 ARPAJON;48,5888;2,2467
187;1235;B33X.PR0193;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;04/02/2019;1 RUE TEDDY RINER, 92600 ASNIERES SUR SEINE;48,9309635;2,2828965
188;1901;570X.VL1904;TP RF/TPRF ONE;0 à 50 km;Archivé;03/02/2020;Chemain du Moulin des Marais, 44300 NANTES;47,2173;-1,5534
190;1945;833X.324D1;BYES T&D;0 à 50 km;Archivé;11/10/2019;Rue de la Corniche , 91200 ATHIS MONS;48,7163552;2,3933939
191;3936;570X.AI2301;TP RF/SE;51 à 100 km;Traité;25/03/2024;535 D96 ,  (Face à point P aubagne), 13400 AUBAGNE;43,2928;5,5707
192;365;022X.117460;BBCSO/CO/ORLS;51 à 100 km;Archivé;27/11/2017;Rue du bois du Tonnerre, 78410 Aubergenville;48,95318;1,8591314
194;1720;BZNX.222120;IEP/IEP;0 à 50 km;Archivé;17/06/2019;Chemin Latéral Nord, 93300 AUBERVILLIERS;48,921485;2,3726344
196;858;B09X.PS0477;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;05/02/2018;3 RUE CARNOT, 93300 AUBERVILLIERS;48,9046121;2,3795189
197;3619;Z32X.PO0207;EQUIPEMENTS PUBLICS/EQUIPEMENTS PUBLICS/EQUIP PUBLIC :  Etat & administrations;0 à 50 km;Traité;15/03/2023;45 avenue Victor Hugo, INTERXION PAR 1 AUBERVILLIERS, 93300 AUBERVILLIERS;48,9167;2,3833
198;3566;B09X.PS0640;HAS/HAS NEUF;0 à 50 km;Traité;24/02/2023;13 rue Saint Denis, 93300 AUBERVILLIERS;48,9167;2,3833
199;534;024X.BPS805;BBGO/PDL/Nantes;0 à 50 km;Archivé;15/05/2017;Chemin de la Censive du Tertre, 44300 Nantes;47,2479039;-1,5518685
200;1452;BZNX.226185;BZ/BZ SE;0 à 50 km;Archivé;26/11/2018;Bd André Citroën, 93600 AULNAY SOUS BOIS;48,9561004;2,4820076
201;2023;BZNX.221168;HAS/HAS NEUF;0 à 50 km;Archivé;06/07/2020;141 Route de Mitry , Angle rue du 8 Mai 1945, 93600 AULNAY SOUS BOIS;48,93814;2,49402
202;1637;B09X.PS0556;HAS/HAS NEUF;0 à 50 km;Traité;02/05/2022;Rue Maurice Utrillo, 93600 AULNAY SOUS BOIS;48,9537701;2,5010138
204;2829;027X.HN2102;BBNE/Hab/Hab Est;201 à 250 km;Traité;29/08/2022;10, rue de Grattery, 89000 AUXERRE;47,8209;3,5366
206;1712;B09X.PH0033;HAS/HAS REHA;0 à 50 km;Archivé;01/10/2019;22 Rue Saint Stenay, 93700 DRANCY;48,92184;2,4228244
207;3000;570X.NO2201;TP RF/TPRF ONE;101 à 150 km;Traité;05/09/2022;rue de l'Epinette, franchissement RN2 - PK96 et 160,  AVESNELLES;50,11782;3,94674
208;3337;570X.NO2208;TP RF/TPRF ONE;101 à 150 km;Traité;01/03/2023;route départementale D133, route d'Avesnes, 59440 FLAUMONT WAUDRECHIES;50,1755;3,9364
209;248;BAN605;BBGO/PDL/Angers;51 à 100 km;Archivé;12/09/2016;Avenue du Maréchal Leclerc, 49240 Avrille;47,4945071;-0,5850096
212;1509;EXTX.931750;AXIMUM/AXIMUM AGENCE TAVERNY;Zone IDF 0 à 50 km;Archivé;01/12/2018;Rue Georges BOILLOT, 91310 LINAS;48,6304;2,2627
213;2075;022X.121090;BBCSO/CO/TOURS;101 à 150 km;Traité;10/10/2022;14 Rte Nationale, 37270 AZAY SUR CHER;47,3557;0,9095
218;2221;B36X.221175;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;18/01/2021;6 Boulevard de l'Hautil, 95000 CERGY;49,0329515;2,0786885
219;1348;024X.BNA903;BBGO/PDL/Nantes;0 à 50 km;Archivé;12/09/2019;Rue du Zambèze, 44800 ST HERBLAIN;47,2412637;-1,6164461
220;2998;B09X.PS0615;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;02/05/2022;18 Rue Romain Rolland, 92220 BAGNEUX;48,8024901;2,3215308
221;2673;Z41X.PC0117;CPI/CPI;0 à 50 km;Archivé;19/11/2021;52 Avenue Aristide Briand , 92220 BAGNEUX;48,8032673;2,3243811
222;2005;B09X.PS0590;HAS/HAS NEUF;0 à 50 km;Archivé;29/03/2021;85 avenue de Verdun, 92220 BAGNEUX;48,7956;2,308
223;2482;BZNX.226253;BZ/BZ SE;0 à 50 km;Traité;01/03/2021;Rue de la Fontaine, 92220 BAGNEUX;48,7897941;2,3040265
225;2347;B08X.PR0214;HAR/HAR/HAR;0 à 50 km;Archivé;07/06/2021;7 rue des Mathurins, 92220 BAGNEUX;48,7937444;2,3065079
226;2348;B08X.PR0215;HAR/HAR/HAR;0 à 50 km;Archivé;07/06/2021;7 rue des Mathurins, 92220 BAGNEUX;48,7937444;2,3065079
228;2775;B09X.PH0053;HAS/HAS REHA;0 à 50 km;Traité;01/02/2023;1 Rue du Port Galland, 92220 BAGNEUX;48,7956;2,308
229;2596;B08X.PR0234;HAR/HAR/HAR;0 à 50 km;Traité;15/12/2022;rue Nina SIMONE, 92220 BAGNEUX;48,8030971;2,3167877
231;743;BZNX.221130;BZ/BAT;Zone IDF 0 à 50 km;Archivé;01/05/2018;109/131, avenue Gambetta, 93170 BAGNOLET;48,8680565;2,4144669
232;1569;Z41X.PC0105;CPI/CPI;Zone IDF 0 à 50 km;Archivé;14/02/2020;140 Avenue GALLIENI, 93170 BAGNOLET;48,860511;2,4153368
234;1674;BZNX.221163;BZ/BAT;51 à 100 km;Archivé;23/09/2019;89 rue sadi carnot , 93170 BAGNOLET;48,8706986;2,4204781
236;291;415010;BBCSO/SO/TLSE;0 à 50 km;Archivé;29/07/2015;25 rue Galilée, 31130 Balma;43,6111;1,4994
237;292;022X.427120;BBCSO/SO/TLSE;0 à 50 km;Archivé;04/12/2017;Avenue Gaston Doumergue / Rue Galilée, 31130 Balma;43,6111;1,4994
238;1930;022X.420010;BBCSO/SO/TLSE;0 à 50 km;Traité;29/11/2021;2 rue Cézanne, 31130 BALMA;43,6111;1,4994
240;3313;020X.183010;BBSE/OF/OF PALR;51 à 100 km;Traité;01/05/2023;île de bendor , 83150 BANDOL;43,1276719;5,7501855
241;2915;024X.PBE22B;BBGO/NormPIC/Beauvais;151 à 200 km;Traité;04/04/2022; angle faubourg d'Arras et rue de a tour de ville, 62450 BAPAUME;50,73434;6,91564
242;262;SO1403;TP RF/SEP TPRF;101 à 150 km;Archivé;15/09/2015;OA15, VC19 Lieu-dit le Cluzel, 12160 Baraqueville;44,2765;2,4318
244;2427;020X.BASEVI;BBSE/HR/HR PALR;0 à 50 km;Traité;01/03/2021;8 Rue André Allar, 13015 MARSEILLE;43,3243914;5,3638333
245;1160;022X.328030;BBCSO/SO/BDX;0 à 50 km;Traité;29/10/2018;rue du grand loc, 33530 BASSENS;44,9083952;-0,5197919
250;1321;Q72X.333X.090120;BCSN;101 à 150 km;Archivé;27/08/2018;les tourettes, D138A, 30200 CHUSCLAN;44,1311;4,6652
251;2844;EXTX.COL7840;COLAS/COLAS;0 à 50 km;Traité;04/10/2021;22 BIS RUE CLAUDE LORRAIN, 75016 PARIS 16;48,8637;2,2769
252;3596;024X.BCA23B;BBGO/NormPIC/Caen;151 à 200 km;Traité;17/07/2023;1 RUE DE SEVES, 50500 BAUPTE;49,3060447;-1,3601003
254;1598;022X.428050;BBCSO/SO/TLSE;151 à 200 km;Archivé;09/09/2019;Eugène Pascau, 64100 BAYONNE;43,4967133;-1,4888151
258;221;PC0079;CPI/CPI;0 à 50 km;Archivé;23/05/2016;boulevard garibaldi, rue jean-jacques rousseau, 92130 Issy Les Moulineaux;48,821;2,2772
261;3479;024X.PTS23A;BBGO/NormPIC/Amiens;51 à 100 km;Traité;06/03/2023;22 rue emmaus, 60000 BEAUVAIS;49,4225983;2,0982725
262;62;024X.QUI BBE701;BBGO/NormPIC/Beauvais;51 à 100 km;Archivé;22/05/2017;Chemin du plouy saint lucien, RUE PIERRE WAGUET, 60000 Beauvais;49,4261;2,0362
263;3032;B09X.PH0052;HAS/HAS REHA;Zone IDF 0 à 50 km;Traité;02/05/2022;Rue des Pyrénées, 60000 BEAUVAIS;49,4391669;2,0970565
264;1018;QUI BBE706;BBGO/NormPIC/Beauvais;51 à 100 km;Archivé;16/04/2018;RUE JOSEPH GAITAS, CHANTIER MULTI SITES, 60000 BEAUVAIS;49,4261;2,0362
268;1290;600002092;COLAS/COLAS;101 à 150 km;Archivé;06/08/2018;40 rue de songeons , 60000 BEAUVAIS;49,4436557;2,0847958
269;2483;024X.PBE21B;BBGO/NormPIC/Beauvais;51 à 100 km;Archivé;01/11/2021;2 rue du Languedoc, 60000 BEAUVAIS;49,4363099;2,1032647
272;3754;024X.PBE23B;BBGO/NormPIC/Beauvais;51 à 100 km;Traité;16/10/2023;All. des Tilleuls, 60000 BEAUVAIS;49,4426784;2,0769494
273;3564;G07X.020x693020;BBSE/HR/HR PALR;51 à 100 km;Traité;24/04/2023;rue de la paix, 84370 BEDARRIDES;44,042384;4,8977373
277;431;022X.328010;BBCSO/SO/BDX;0 à 50 km;Archivé;08/04/2019;rue des mimosas, 33130 BEGLES;44,8127313;-0,5490439
278;501;024X.BLV602;BBGO/OUEST/Brest;51 à 100 km;Archivé;10/04/2017;La Vigne, 56360 LE PALAIS;47,3149;-3,1881
279;1349;024X.BAN901;BBGO/PDL/Angers;51 à 100 km;Archivé;02/09/2019;2 Rue de la Rame, 49100 ANGERS;47,4667;-0,55
280;2342;020X.631010;BBSE/OF/OF RAAU;151 à 200 km;Archivé;01/06/2021;2 Route de Charmeil, 03700 Bellerive-sur-Allier, 03700 BELLERIVE SUR ALLIER;46,1328317;3,4027109
281;3614;570X.VS2303;TP RF/VSL FR;0 à 50 km;Traité;15/05/2023;route de Millery, 54820 MARBACHE;48,8035022;6,1105559
282;1315;BZNX.223051;IEP/IEP;51 à 100 km;Archivé;03/09/2018;Chemin de Saint Prix, 95270 BELLOY EN FRANCE;49,099104;2,35982
284;817;022X.547130;BBCSO/SO/REOL;51 à 100 km;Archivé;11/08/2017;Boulevard Charles Garraud, 24100 BERGERAC;44,8455505;0,5115168
285;287;516600;BBCSO/SO/REOL;101 à 150 km;Archivé;27/09/2016;Boulevard Charles Garraud, 24100 BERGERAC;44,8455505;0,5115168
286;929;022X.517500;BBCSO/SO/REOL;101 à 150 km;Archivé;17/10/2017;Boulevard Charles Garaud, 24108 BERGERAC;44,85;0,48333
287;3747;G11X.451953;BBNE/Hab/Hab Est;0 à 50 km;Traité;06/11/2023;80, avenue Clémenceau, caserne BRUN - 6ème régiment du Matériel, 25000 BESANCON;47,24878;6,01815
288;2312;G11X.451959;BBNE/OF/OF Est;0 à 50 km;Archivé;02/05/2022;31, rue de Dôle, caserne Joffre, 25000 BESANCON;47,2488;6,0182
289;4105;027X.HR2317;BBNE/Hab/HAR Est;201 à 250 km;Traité;11/03/2024;11 avenue Ile de France, 25000 BESANCON;47,220928;5,968591
291;3939;BZNX.DI0009;BZ/BZ SE;151 à 200 km;Traité;01/09/2023;2 Rue Camille Guérin, , 51450 Bétheny ;49,285;4,0549
293;3106;570X.NO2204;TP RF/TPRF ONE;51 à 100 km;Traité;01/08/2022;chemin des Alliés, 59192 BEUVRAGES;50,389135;3,4928061
296;3753;570X.NO2302;TP RF/TPRF ONE;101 à 150 km;Archivé;05/06/2023;52, rue de la République, adresse base vie, 02300 BICHANCOURT;49,6321;3,2432
298;1962;022X.519100;BBCSO/SO/REOL;51 à 100 km;Traité;04/11/2019;Allée des Fougères, 33380 BIGANOS;44,6281831;-0,9782425
299;1402;024X.BR1805;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;07/01/2019;Rue des vipères d'or, 76420 BIHOREL;49,4574533;1,1094752
300;1840;024X.BR1903;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;25/11/2019;220 route de neufchatel, 76420 BIHOREL;49,4608114;1,1104527
305;2433;024X.HHN22A;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;08/02/2022;Rue de la petite Bouverie, 76420 BIHOREL;49,4660476;1,1415465
