;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
1728;2311;022X.161020;BBCSO/SO/MTP;101 à 150 km;Traité;30/08/2021;Avenue du mondial 98 , 34000 MONTPELLIER;43,6032187;3,9126999
1729;2246;022X.161010;BBCSO/SO/MTP;101 à 150 km;Traité;05/04/2021;Rue myriam maryam mirzakhani , 34000 MONTPELLIER;43,6109;3,8772
1730;2706;B36X.PS0610;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;01/11/2021;10 Place de la Fraternité, 93100 MONTREUIL;48,8568705;2,4227087
1731;2931;B09X.PH0046;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;02/05/2022;Rue Beaumarchais, 93100 MONTREUIL;48,8557034;2,4309075
1732;2990;B09X.PH0035;HAS/HAS REHA;Zone IDF 0 à 50 km;Traité;05/12/2022;Rue du Clos Français, 93100 MONTREUIL;48,8642;2,4432
1733;2439;B09X.PS0602;HAS/HAS NEUF;0 à 50 km;Archivé;17/03/2021;27 rue Robespierre, 93100 MONTREUIL;48,8551343;2,4231439
1741;3514;022X.313060;BBCSO/SO/BDX;0 à 50 km;Traité;04/03/2024;5, Route d'angéline, 33450 MONTUSSAN;44,8848096;-0,4290889
1742;1883;024X.BLH901;BBGO/NormPIC/Réha;0 à 50 km;Archivé;27/01/2020;RUE MICHEL MONFLIER, 76710 MONTVILLE;49,5465034;1,0782252
1744;316;022X.328020;BBCSO/SO/BDX;151 à 200 km;Archivé;04/06/2018;64160 MORLAAS;43,3454394;-0,2649452
1745;842;896x.350382;BYES AX;151 à 200 km;Archivé;18/09/2017;Chemin de Saint-Bernard, 64000 Bayonne;43,5008756;-1,4814863
1746;3305;570X.SE2211;TP RF/SE;201 à 250 km;Traité;15/01/2023;route de montilly, 03000 MOULINS;46,5612862;3,3205332
1747;2245;570X.SE2002;TP RF/SE;201 à 250 km;Traité;04/01/2021;Gare du Bateaux, 03000 MOULINS;46,5504;3,2566
1748;2553;027X.HR2101;BBNE/Hab/HAR Nord;0 à 50 km;Traité;01/09/2021;Rue de l'Abbé Lemire, 59420 MOUVAUX;50,6971537;3,1449223
1749;1977;570X.VL1905;TP RF/CSO;101 à 150 km;Archivé;06/01/2020;route de la corniche, porte Caffareli, 29200 BREST;48,4;-4,4833
1750;1243;024X.BR1806;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;01/10/2018;Rue des Mouettes , 76130 MONT ST AIGNAN;49,4690158;1,0720671
1753;1748;022X.160010;BBCSO/SO/MTP;101 à 150 km;Archivé;15/02/2021;Rue Isabelle Eberhardt , 34000 MONTPELLIER;43,6028876;3,8774721
1754;3852;848X.AZ2156;BYES;0 à 50 km;Traité;10/07/2023;35/37 Rue de Vaugirard, 75015 PARIS 15;48,8412;2,3003
1755;1669;027X.OFN904;BBNE/OF/OF Est;101 à 150 km;Traité;01/11/2019;angle de la rue Dante et rue de la Fonderie, 68100 MULHOUSE;49,63966;-1,58654
1761;267;516500;BBCSO/SO/REOL;51 à 100 km;Archivé;14/06/2016;Rue du commandant montalgre, 31600 Muret;43,4595;1,2453
1764;747;022X.514100;BBCSO/SO/REOL;0 à 50 km;Archivé;16/01/2015;Place Longchamps, 33000 BORDEAUX;44,85011;-0,5818574
1765;1717;027X.OFL800;BBNE/OF/OF Est;0 à 50 km;Archivé;23/03/2020;avenue Hippolyte Maringer, 54000 NANCY;48,6803956;6,1690935
1766;3679;027X.HR2218;BBNE/Hab/HAR Est;0 à 50 km;Traité;01/06/2023;4, square de Boufflers, 54000 NANCY;48,6896864;6,1581107
1767;3544;027X.HR2217;BBNE/Hab/HAR Est;0 à 50 km;Traité;01/06/2023;10, place des Rossignols, attention multi sites: Cirey, Nancy et St MAX, 54480 CIREY SUR VEZOUZE;10,91667;38,65
1768;2869;027X.ON2203;BBNE/OF/OF Est;0 à 50 km;Traité;06/06/2022;rue des 5 piquets, (à côté du campus Orange), 54000 NANCY;48,6844;6,185
1769;3688;570X.VS2304;TP RF/TPRF ONE;0 à 50 km;Traité;03/07/2023;rue du Docteur Grandjean, 54000 NANCY;48,7012183;6,1901176
1770;2453;027X.ON2101;BBNE/OF/OF Est;0 à 50 km;Archivé;05/07/2021;rue des 5 piquets, 54000 NANCY;48,6844;6,185
1771;640;PE0068;REP/REP;Zone IDF 0 à 50 km;Archivé;31/03/2016;4 boulevard pasero, 92000 Nanterre;48,892;2,2067
1772;109;226155;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;12/01/2017;1 rue noel Pons, 92000 Nanterre;48,9065736;2,2246075
1774;642;221098;BZ/BAT;Zone IDF 0 à 50 km;Archivé;17/03/2016;RUE DE LA FOLIE, 92000 Nanterre;48,9016226;2,2142979
1775;387;B33X.PR0186;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;03/12/2018;35 Bd du Général Leclerc, 92000 Nanterre;48,8976173;2,1937915
1780;130;PR0155;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;16/01/2017;Boulevard abdenbi guemiah, 92000 Nanterre;48,899285;2,2122863
1781;3116;S35X.PC0122;CPI/CPI;0 à 50 km;Traité;11/07/2022;67 Avenue Jules Quentin , 92000 NANTERRE;48,8950179;2,1919193
1783;1171;024X.BPS804;BBGO/PDL/Nantes;0 à 50 km;Archivé;23/07/2018;Rue Edmond Prieur, Rue Président Herriot, 44000 NANTES;47,2173;-1,5534
1785;333;024X.BNA701;BBGO/PDL/Nantes;0 à 50 km;Archivé;19/06/2017;Bd de Berlin, 44000 Nantes;47,2140933;-1,5293719
1787;1698;024X.BNA20C;BBGO/PDL/Nantes;0 à 50 km;Archivé;07/09/2020;36 rue Gaston Turpin, 44000 NANTES;47,2209865;-1,5451119
1791;260;BNA503;BBGO/PDL/Nantes;0 à 50 km;Archivé;06/06/2016;Rue de la Cencive du Tertre, 44300 Nantes;47,2173;-1,5534
1793;189;BNA502;BBGO/PDL/Nantes;0 à 50 km;Archivé;06/01/2016;Rue Auguste Renoir, 44000 Nantes;47,2233572;-1,5902995
1794;665;024X.BNA702;BBGO/PDL/Nantes;0 à 50 km;Archivé;03/08/2017;rue de la Bottière, 44300 Nantes;47,2392623;-1,5198844
1795;236;BNA605;BBGO/PDL/Nantes;0 à 50 km;Archivé;20/02/2017;Rue de Tchécoslovaquie, 44000 Nantes;47,2146935;-1,5322256
1796;285;BNA601;BBGO/PDL/Nantes;0 à 50 km;Archivé;18/04/2016;Rue Jean Baptiste Georget, 44100 Nantes;47,200706;-1,6066612
1797;2021;024X.BNA20B;BBGO/PDL/Nantes;0 à 50 km;Archivé;04/01/2021;Allée de Lassus, 44300 NANTES;47,2603864;-1,5151513
1798;826;024X.BNA706;BBGO/PDL/Nantes;0 à 50 km;Archivé;04/12/2017;Route de Carquefou, Angle rue de la Granges aux Loups, 44300 NANTES;45,74725;7,3431
1799;259;BNA401;BBGO/PDL/Nantes;0 à 50 km;Archivé;05/05/2014;rue Antoine Watteau, 44100 Nantes;47,2243521;-1,5994236
1800;764;024X.BNA703;BBGO/PDL/Nantes;0 à 50 km;Archivé;26/06/2017;52 rue du Croissant, 44000 NANTES;47,2357718;-1,5213554
1803;2679;024X.PNA22C;BBGO/PDL/Nantes;0 à 50 km;Traité;06/01/2023;Chemin de la dame de nage, 44000 NANTES;47,2173;-1,5534
1804;2850;024X.PNA22A;BBGO/PDL/Nantes;0 à 50 km;Traité;30/05/2022;14 boulevard Vincent Gâche, 44200 NANTES;47,2065199;-1,5437426
1805;1343;024X.PNA21F;BBGO/PDL/Nantes;0 à 50 km;Traité;14/06/2021;rue de la verrerie, rue Batonnier Guinaudeau, 44000 NANTES;47,2173;-1,5534
1808;1950;024X.PNA20B;BBGO/PDL/Nantes;0 à 50 km;Traité;01/12/2020;Boulevard de Berlin, 44000 NANTES;47,2140933;-1,5293719
1810;2248;024X.PNA21E;BBGO/PDL/Nantes;0 à 50 km;Traité;20/09/2021;18 Rue Voltaire , 44000 NANTES;47,2118417;-1,5662377
1811;1983;024X.PNA21D;BBGO/PDL/Nantes;0 à 50 km;Traité;18/10/2021;rue des marchandises, 44200 NANTES;47,2032442;-1,5541714
1813;3383;024X.PMS22B;BBGO/PDL/Nantes;0 à 50 km;Archivé;09/01/2023;Boulevard du Professeur Jacques Monod - , Centre de Cancérologie de l’ouest , 44805 Saint Herblain;5,5;10,66667
1814;3624;022X.313070;BBCSO/SO/BDX;101 à 150 km;Traité;11/03/2024;Avenue du 19 Mars 1962, 47600 NERAC;44,1320216;0,3376423
1815;3152;024X.PBE23C;BBGO/NormPIC/Beauvais;151 à 200 km;Traité;08/01/2024;Rue Roland DORGELES, 80190 NESLE;49,7614502;2,906317
1816;1411;B11X.pe0107;REP/REP;Zone IDF 0 à 50 km;Archivé;01/01/2019;185 Avenue Charles de GAULLE, 92200 NEUILLY SUR SEINE;48,8839767;2,2618501
1818;388;B33X.PR0167;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;05/02/2018;Ile de la Jatte, 92200 Neuilly Sur Seine;48,8946191;2,2661915
1819;2131;Z32X.PO0145;IEP/IEP;0 à 50 km;Archivé;07/09/2020;Du 70 au 124 Avenue Charles de Gaulle, 92200 NEUILLY SUR SEINE;48,8846;2,2697
1821;3414;B08X.PR0243;HAR/HAR/HAR;0 à 50 km;Traité;05/06/2023;58 boulevard Victor Hugo, 92200 NEUILLY SUR SEINE;48,8902639;2,276686
1822;3143;B08X.PR0236;HAR/HAR/HAR;0 à 50 km;Traité;09/01/2023;124 Avenue Peretti, 92200 NEUILLY SUR SEINE;48,8854606;2,2652179
1823;2606;024X.HHR21B;BBGO/NormPIC/Réha;51 à 100 km;Traité;06/09/2021;Rue Albert Lamotte, Rue Alexandre Ribot, 76200 DIEPPE;49,9333;1,0833
1825;2507;G07X.281020;BBSE/HR/HR CA;151 à 200 km;Traité;01/06/2022;25 rue Robert Latouche , 06200 NICE;43,680981;7,2263453
1833;2126;020X.181020;BBSE/OF/OF PALR;151 à 200 km;Traité;12/09/2022;avenue doyen louis  trotabas, 06000 NICE;43,696232;7,2458938
1837;1805;788x.30T746;BYES T&D;101 à 150 km;Archivé;25/06/2019;38 rue d'Epannes, 79160 VILLIERS EN PLAINE;46,5581;-0,5557
1838;2956;027X.IE2201;BBNE/IEN/IEN Nord;51 à 100 km;Archivé;01/07/2022;rue Léon Blum, loggisterrA26, 62290 NOEUX LES MINES;50,4833;2,6667
1841;2537;B09X.PS0628;HAS/HAS NEUF;Zone IDF 50 à 100 km;Traité;15/11/2022;Boulevard Pierre De Coubertin, 60180 NOGENT SUR OISE;49,2674511;2,4671374
1842;3646;570X.NA2303;TP RF/TPRF ONE;201 à 250 km;Traité;07/08/2023;gare SNCF, place Jean Moulin, 10400 NOGENT SUR SEINE;48,4746;3,4398
1843;1771;B09X.PS0555;HAS/HAS NEUF;0 à 50 km;Archivé;20/01/2020;1 Allée de la ferme, 77186 NOISIEL;48,8447225;2,6233974
1845;1489;B09X.PS0574;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;01/09/2020;33-35 grande allée du 12/2/1934, 77186 NOISIEL;48,8425899;2,6181092
1847;1010;B09X.PS0537;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;30/04/2018;Intersection Boulevard Mont d'Est et , Avenue Montaigne Prolongée, 93160 NOISY LE GRAND;48,8498;2,5627
1848;2438;B09X.PS0573;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;21/07/2021;Rue Gallieni / Rue de Paris, 93130 NOISY LE SEC;48,8915;2,4645
